work_tract,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,createdate,PercentWhite,PercentBlack,PercentHispanic,PercentAsian
1086.01,20927,6036,10863,4028,4128,9431,7368,0,1596,0,872,2389,2440,4272,4383,104,164,168,109,1006,486,637,104,49,1847,300,1,16645,2186,855,610,22,609,18442,2485,2390,5080,4845,2576,12985,7942,0,0,0,0,0,0,0,0,0,0,1069058707,0.795383954,0.104458355,0.118746117,0.029148946
1036.01,20299,3668,12091,4540,2406,4296,13597,13,3826,1439,668,34,270,232,345,618,549,286,1835,1029,1928,55,43,889,192,125,5923,16374,2358,691,333,9,534,19238,1061,1481,4212,5663,5275,12742,7557,0,0,0,0,0,0,0,0,0,0,443760218,0.806640721,0.116163358,0.052268585,0.016404749
1051,18095,3446,10669,3980,2013,5450,10632,1,3298,926,2129,1739,469,233,175,59,1557,268,1423,90,1586,214,785,121,395,492,2135,14480,1984,644,505,13,469,16761,1334,1727,4238,4858,3826,10299,7796,0,0,0,0,0,0,0,0,0,0,1714528115,0.800221056,0.109643548,0.073722023,0.027908262
1005,14722,1918,8513,4291,1345,6395,6982,0,21,0,191,393,343,369,85,0,136,109,180,260,327,68,484,0,74,530,11152,11162,1934,796,374,14,442,14081,641,1230,3720,4596,3258,6821,7901,0,0,0,0,0,0,0,0,0,0,1028716869,0.758185029,0.131368021,0.04354028,0.025404157
1066.04,14416,2513,8654,3249,2003,5275,7138,0,128,0,23,287,15,97,68,96,230,68,581,0,880,0,10693,1,187,37,1025,11298,1518,570,632,9,389,13504,912,980,2832,4403,3688,4143,10273,0,0,0,0,0,0,0,0,0,0,443760218,0.783712542,0.105299667,0.063263041,0.043840178
40109107002,14321,3400,7928,2993,3481,5830,5010,7,89,13,839,844,1668,1687,2431,55,497,209,847,597,1511,46,695,379,1445,427,35,11060,1794,601,387,10,469,12881,1440,1618,3494,3653,2156,8670,5651,0,0,0,0,0,0,0,0,0,0,746324003,0.772292438,0.125270582,0.100551637,0.027023253
40109102700,13579,2652,7842,3085,1438,5140,7001,0,0,0,0,159,2,5,0,3,95,1,107,0,381,7466,4729,4,541,0,86,10421,1523,438,864,11,322,12721,858,924,2489,3685,3829,4284,9295,0,0,0,0,0,0,0,0,0,0,201709190,0.76743501,0.11215848,0.063185802,0.06362766
40109108511,11586,3010,6493,2083,1769,4060,5757,0,1130,0,127,466,105,254,21,262,1589,98,1544,1284,2147,47,1202,27,1091,189,3,9084,1492,344,333,16,317,10871,715,917,2341,2926,2392,5570,6016,0,0,0,0,0,0,0,0,0,0,1069058707,0.784049715,0.128776109,0.061712412,0.028741585
40109106503,8921,3054,4187,1680,2947,3288,2686,0,117,1,55,397,476,3213,1,903,686,178,696,9,294,82,177,15,1356,167,98,6742,1277,324,284,3,291,8146,775,778,1684,1843,1562,3868,5053,0,0,0,0,0,0,0,0,0,0,443760218,0.755744872,0.143145387,0.086873669,0.031834996
40109108519,8237,1552,4893,1792,971,3036,4230,0,19,0,41,8,89,41,4,3,55,55,110,7,591,0,7083,79,2,50,0,6739,730,246,343,3,176,7801,436,555,1626,2459,2045,1966,6271,0,0,0,0,0,0,0,0,0,0,605127570,0.818137671,0.088624499,0.052931893,0.041641374
40109107101,7917,741,4754,2422,673,1572,5672,0,0,0,148,9,69,148,1035,2,26,262,1169,0,940,93,13,7,76,84,3836,6269,789,308,311,14,226,7453,464,420,2412,1973,2371,4946,2971,0,0,0,0,0,0,0,0,0,0,383247461,0.791840344,0.099658962,0.058608059,0.039282557
40109108318,7764,2077,4247,1440,1692,2757,3315,1,57,17,1135,1079,1190,860,330,125,114,88,390,23,438,117,501,115,1052,132,0,6189,936,249,193,12,185,6688,1076,908,1837,1846,1096,5066,2698,0,0,0,0,0,0,0,0,0,0,806836760,0.797140649,0.120556414,0.138588357,0.02485832
40109109100,7646,1635,4142,1869,1880,2176,3590,0,206,1,128,74,240,147,11,330,389,148,1504,1659,1322,42,43,136,808,313,145,6185,829,258,152,8,214,7121,525,671,1616,1926,1798,3894,3752,0,0,0,0,0,0,0,0,0,0,484102056,0.808919697,0.108422705,0.068663353,0.019879676
40109106200,7576,1545,4392,1639,1225,2293,4058,2,2259,89,353,359,283,207,42,344,502,44,705,16,378,42,600,46,371,421,513,6325,678,247,127,8,191,7039,537,732,1692,1919,1688,4443,3133,0,0,0,0,0,0,0,0,0,0,1089229626,0.834873284,0.089493136,0.070881732,0.016763464
40109105300,6770,1193,3996,1581,949,2650,3171,0,104,988,788,2198,868,227,411,4,15,82,64,0,209,0,72,1,455,284,0,5456,461,221,452,9,171,5913,857,944,1675,1704,1254,4864,1906,0,0,0,0,0,0,0,0,0,0,1230426059,0.805908419,0.068094535,0.126587888,0.06676514
40109103300,6754,1124,3420,2210,1324,2891,2539,7,0,0,86,146,39,39,0,0,3,11,5,0,2,6289,110,12,4,1,0,4600,1683,190,101,6,174,5986,768,639,1395,1789,1807,1841,4913,0,0,0,0,0,0,0,0,0,0,484102056,0.68107788,0.249185668,0.113710394,0.014954101
40109102500,5966,1273,3386,1307,1065,2495,2406,0,34,0,22,49,41,56,0,10,28,85,429,152,253,35,4244,9,450,44,25,4498,833,209,266,4,156,5590,376,470,1247,1665,1311,1916,4050,0,0,0,0,0,0,0,0,0,0,726153084,0.753938988,0.139624539,0.063023802,0.044585987
40109106913,5797,1137,3455,1205,746,2332,2719,0,57,0,583,852,1631,409,143,24,443,131,64,275,511,11,298,57,255,53,0,4784,495,253,96,4,165,5229,568,668,1479,1608,905,3942,1855,0,0,0,0,0,0,0,0,0,0,827007679,0.825254442,0.085388994,0.097981715,0.01656029
40109106100,5635,1377,2978,1280,1068,2555,2012,0,0,0,58,238,131,63,210,317,15,35,23,0,760,104,244,1185,145,178,1929,4048,904,326,161,2,194,5132,503,585,1325,1466,882,3400,2235,0,0,0,0,0,0,0,0,0,0,645469408,0.718367347,0.160425909,0.089263531,0.028571429
40109108602,5424,1097,3163,1164,670,1953,2801,0,582,0,663,872,1184,57,240,3,16,36,517,8,397,14,361,0,428,46,0,4427,494,223,133,5,142,4954,470,582,1391,1448,906,3911,1513,0,0,0,0,0,0,0,0,0,0,403418380,0.816187316,0.091076696,0.086651917,0.024520649
40109103800,5116,1955,2407,754,1816,1860,1440,0,20,0,136,57,128,539,33,236,25,37,473,257,197,233,140,224,2223,158,0,4071,582,183,105,7,168,4572,544,477,848,1039,797,2633,2483,0,0,0,0,0,0,0,0,0,0,645469408,0.795738858,0.113760751,0.106333073,0.020523847
40109108521,4813,1549,2447,817,1380,2216,1217,0,21,0,205,102,65,1814,12,64,380,43,190,1,1054,16,46,145,576,79,0,3683,745,161,102,5,117,4432,381,439,982,1140,703,2472,2341,0,0,0,0,0,0,0,0,0,0,363076542,0.765219198,0.154789113,0.079160607,0.021192603
40109107207,4619,1495,2298,826,1629,2026,964,0,12,0,93,25,53,1444,4,0,138,90,237,106,962,0,722,2,631,100,0,3589,555,228,86,3,158,4067,552,485,957,1048,634,2413,2206,0,0,0,0,0,0,0,0,0,0,484102056,0.77700801,0.120155878,0.119506387,0.018618749
40109106804,4549,981,2390,1178,1183,2357,1009,0,0,0,43,4,13,234,3,1,251,38,46,14,171,3128,212,3,331,35,22,3740,468,130,73,8,130,4177,372,382,1000,1162,1024,1448,3101,0,0,0,0,0,0,0,0,0,0,665640327,0.822158716,0.102879754,0.081776215,0.016047483
40109108303,4368,1588,1997,783,1646,1643,1079,0,27,0,83,7,150,1501,98,5,162,57,107,0,343,685,331,38,657,117,0,3469,511,134,134,1,119,4054,314,339,834,842,765,2181,2187,0,0,0,0,0,0,0,0,0,0,746324003,0.794184982,0.116987179,0.071886447,0.030677656
40109108317,4357,971,2439,947,792,1855,1710,0,42,58,388,411,692,499,4,95,125,46,583,56,201,104,903,11,30,109,0,3471,452,118,192,1,123,4075,282,449,967,1164,806,2246,2111,0,0,0,0,0,0,0,0,0,0,705982165,0.79664907,0.103741106,0.064723434,0.044067019
40109108220,4345,817,2396,1132,1237,1724,1384,0,9,0,62,1,10,360,1,2,71,10,17,1,21,3465,106,84,103,22,0,3797,296,108,55,3,86,4184,161,270,922,1115,1221,1180,3165,0,0,0,0,0,0,0,0,0,0,645469408,0.873878021,0.068124281,0.037054085,0.012658228
40109108315,4194,2020,1652,522,1925,1680,589,0,0,0,37,54,10,1355,0,131,265,54,37,0,83,52,472,162,1312,170,0,3108,690,143,99,3,151,3786,408,333,653,713,475,1813,2381,0,0,0,0,0,0,0,0,0,0,504272975,0.741058655,0.164520744,0.097281831,0.02360515
40109107303,4012,1058,2254,700,694,1538,1780,0,53,19,183,339,1307,536,290,127,88,72,28,322,169,63,21,22,227,146,0,3280,323,179,90,4,136,3674,338,412,997,1003,542,2857,1155,0,0,0,0,0,0,0,0,0,0,766494922,0.817547358,0.080508475,0.084247258,0.022432702
40109107604,3772,1106,1860,806,1235,1688,849,0,1,0,29,9,17,791,0,33,60,11,75,2,1,2119,39,0,564,21,0,2989,431,139,73,7,133,3554,218,288,733,868,777,1309,2463,0,0,0,0,0,0,0,0,0,0,302563785,0.792417815,0.11426299,0.057794274,0.019353128
40109108201,3630,1323,1614,693,1518,1338,774,1,29,0,114,79,25,852,0,24,58,215,202,74,52,110,517,227,820,160,71,2984,358,93,86,3,106,3362,268,291,723,780,513,1685,1945,0,0,0,0,0,0,0,0,0,0,1270767897,0.822038567,0.09862259,0.073829201,0.02369146
40109106608,3590,914,2017,659,538,1462,1590,0,193,0,18,15,75,221,0,243,441,98,977,86,128,32,782,1,201,77,2,2878,423,108,82,1,98,3319,271,296,702,896,782,1752,1838,0,0,0,0,0,0,0,0,0,0,544614813,0.801671309,0.117827298,0.075487465,0.022841226
40109107601,3227,740,1679,808,978,1098,1151,0,0,0,69,139,17,997,196,10,251,21,281,0,100,733,70,10,304,29,0,2561,346,101,97,9,113,3023,204,246,744,841,656,1799,1428,0,0,0,0,0,0,0,0,0,0,564785732,0.793616362,0.107220328,0.06321661,0.030058878
40109107405,3188,499,1968,721,204,600,2384,0,0,0,173,1891,2,44,22,3,9,32,320,0,26,0,614,0,45,7,0,2610,222,105,157,5,89,2952,236,244,675,895,875,2004,1184,0,0,0,0,0,0,0,0,0,0,484102056,0.818695107,0.069636136,0.074027604,0.049247177
40109103200,2997,566,1703,728,618,1226,1153,0,6,0,17,70,64,52,3,50,176,22,242,0,620,0,1009,118,87,146,315,2337,372,156,55,2,75,2831,166,272,738,788,633,1494,1503,0,0,0,0,0,0,0,0,0,0,847178598,0.77977978,0.124124124,0.055388722,0.018351685
40109106610,2885,991,1353,541,1120,1243,522,0,5,0,47,9,16,495,0,0,258,32,112,16,721,5,108,21,987,53,0,2155,422,114,88,2,104,2558,327,290,586,602,416,1491,1394,0,0,0,0,0,0,0,0,0,0,443760218,0.746967071,0.14627383,0.113344887,0.0305026
40109100100,2811,709,1421,681,921,1179,711,0,36,0,25,32,69,281,0,14,120,34,676,67,219,112,388,75,539,124,0,2253,278,97,102,2,79,2588,223,288,605,694,515,1289,1522,0,0,0,0,0,0,0,0,0,0,1169913302,0.80149413,0.09889719,0.079331199,0.036286019
40109108208,2767,535,1464,768,791,968,1008,0,1,0,26,4,6,87,52,1,34,15,83,0,131,1682,412,5,220,8,0,2247,302,64,86,2,66,2607,160,204,540,660,828,1193,1574,0,0,0,0,0,0,0,0,0,0,564785732,0.812070835,0.109143477,0.057824359,0.031080593
40109100800,2690,253,1604,833,150,597,1943,0,0,0,21,0,2,19,0,0,5,18,63,0,40,0,2415,0,83,23,1,1716,531,90,231,7,115,2580,110,66,212,934,1225,1113,1577,0,0,0,0,0,0,0,0,0,0,342905623,0.637918216,0.19739777,0.040892193,0.085873606
40109106501,2593,619,1367,607,998,899,696,0,209,0,38,8,29,345,27,50,83,21,148,2,652,0,691,1,238,45,6,1976,403,83,49,2,80,2339,254,287,577,659,451,962,1631,0,0,0,0,0,0,0,0,0,0,665640327,0.762051678,0.155418434,0.097956035,0.01889703
40109108304,2553,910,1198,445,951,1031,571,0,9,0,60,22,111,507,17,53,183,14,183,11,102,3,485,29,480,284,0,2019,322,93,57,2,60,2394,159,234,499,547,363,1108,1445,0,0,0,0,0,0,0,0,0,0,1008545950,0.790834313,0.126126126,0.062279671,0.022326675
40109107403,2519,333,1116,1070,966,485,1068,0,2,0,39,1132,70,43,314,9,24,96,141,0,215,166,9,33,187,39,0,2009,258,87,99,1,65,2349,170,226,668,757,535,1725,794,0,0,0,0,0,0,0,0,0,0,423589299,0.797538706,0.102421596,0.067487098,0.03930131
40109108113,2429,780,1129,520,916,962,551,2,12,61,203,19,152,1027,0,14,65,48,127,4,124,1,99,19,394,52,6,1973,215,89,79,4,69,2234,195,231,568,511,339,1150,1279,0,0,0,0,0,0,0,0,0,0,645469408,0.812268423,0.088513792,0.080279951,0.032523672
40109107206,2365,808,1137,420,900,933,532,3,4,61,59,22,55,279,0,0,73,12,175,0,256,8,375,63,842,78,0,1922,228,83,69,4,59,2003,362,232,466,502,357,1002,1363,0,0,0,0,0,0,0,0,0,0,584956651,0.812684989,0.09640592,0.153065539,0.029175476
40109101000,2251,423,1187,641,625,885,741,0,1,0,19,11,0,332,3,0,17,16,105,2,84,1104,73,8,282,131,63,1714,184,68,214,4,67,2075,176,205,433,576,614,1025,1226,0,0,0,0,0,0,0,0,0,0,625298489,0.76143936,0.081741448,0.078187472,0.095068858
40109105800,2227,585,1223,419,328,1032,867,0,11,0,405,909,116,310,74,90,0,26,21,0,108,0,50,0,27,80,0,1683,335,87,60,2,60,1977,250,241,545,548,308,1698,529,0,0,0,0,0,0,0,0,0,0,746324003,0.755725191,0.150426583,0.112258644,0.026942075
40109106502,2197,631,1123,443,747,846,604,0,22,0,47,86,18,665,6,53,77,45,182,15,520,26,198,2,201,34,0,1702,281,101,49,0,64,2040,157,199,472,543,352,1117,1080,0,0,0,0,0,0,0,0,0,0,907691355,0.774692763,0.127901684,0.071461083,0.022303141
40109101500,2183,268,1224,691,233,691,1259,0,0,0,3,0,0,12,1,0,430,7,531,3,16,75,58,6,145,153,743,1688,260,75,96,0,64,2096,87,153,494,649,619,1021,1162,0,0,0,0,0,0,0,0,0,0,443760218,0.773247824,0.119102153,0.039853413,0.04397618
40109108314,2169,964,864,341,937,950,282,0,0,0,0,4,7,1512,0,3,6,41,105,0,29,0,62,0,374,26,0,1630,319,88,50,0,82,2019,150,194,442,375,194,947,1222,0,0,0,0,0,0,0,0,0,0,201709190,0.751498386,0.147072384,0.069156293,0.023052098
40109108301,2100,367,1184,549,261,635,1204,0,384,0,28,75,10,61,3,395,146,24,275,0,37,107,490,0,42,23,0,1769,160,76,35,0,60,1971,129,138,427,601,567,1069,1031,0,0,0,0,0,0,0,0,0,0,342905623,0.842380952,0.076190476,0.061428571,0.016666667
40109108207,2084,581,1045,458,468,610,1006,13,29,99,53,0,5,274,0,56,149,37,101,0,38,0,403,84,248,33,462,1771,140,64,39,1,69,1993,91,137,447,525,394,1073,1011,0,0,0,0,0,0,0,0,0,0,625298489,0.849808061,0.067178503,0.043666027,0.018714012
40109107401,2042,407,1266,369,413,676,953,0,15,0,53,323,74,54,353,797,5,6,122,0,213,0,15,0,9,3,0,1570,279,95,45,0,53,1857,185,236,618,520,261,1612,430,0,0,0,0,0,0,0,0,0,0,322734704,0.768854065,0.136630754,0.090597453,0.022037218
40109108603,2006,368,1233,405,168,824,1014,0,3,0,192,629,472,65,20,0,13,46,160,0,303,69,20,8,0,6,0,1559,199,92,99,0,57,1661,345,280,496,553,309,1484,522,0,0,0,0,0,0,0,0,0,0,584956651,0.777168495,0.099202393,0.171984048,0.049351944
